ID_Pelanggan,Lama_Berlangganan,Perangkat_Login,Tingkat_Kota,Jarak_Gudang_ke_Rumah,Metode_Pembayaran,Jenis_Kelamin,Jam_di_Aplikasi,Skor_Kepuasan,Status_Perkawinan,Komplain,Hari_Sejak_Pesanan_Terakhir,Jumlah_Cashback,Churn
50001,10.0,Komputer,3,40.22461464206682,COD,Wanita,4,1,Single,0,8.60928476011336,425.4446061384468,0
50002,30.0,Komputer,1,42.50240303894595,COD,Wanita,2,4,Menikah,0,16.60647442850344,489.5695515548779,0
50003,20.0,Komputer,3,13.155335341117613,UPI,Pria,5,2,Cerai,1,22.481969813408327,263.3007216660542,0
50004,10.0,Smartphone,3,45.226547107873074,UPI,Pria,3,2,Menikah,0,18.16396968060655,232.46630168881373,0
50005,5.0,Smartphone,1,104.18709835118231,Debit Card,Pria,4,5,Menikah,1,17.775567940056103,111.27362093804676,0
50006,5.0,Smartphone,3,31.80337336744602,Debit Card,Pria,5,5,Menikah,0,9.549266460415398,279.95834239523737,1
50007,,Komputer,2,84.94655861415755,CC,Pria,2,3,Menikah,0,22.78573272095502,360.548620965293,0
50008,30.0,Smartphone,1,77.40725966793815,CC,Wanita,4,3,Cerai,1,6.933073549026944,426.16345652899025,0
50009,20.0,HP,2,104.30072996244826,CC,Pria,5,5,Menikah,1,5.132008915492517,206.98215310974814,0
50010,20.0,HP,1,20.213113979869398,CC,Pria,5,4,Single,0,9.105598343162596,305.4365105477162,0
50011,,Smartphone,3,117.42284543967996,COD,Wanita,5,3,Single,0,16.25390551846235,364.80382584561863,0
50012,30.0,HP,3,72.00229429464204,COD,Wanita,1,4,Single,1,21.54194965486267,320.64114639363754,1
50013,30.0,HP,3,119.47952751988365,Debit Card,Wanita,3,5,Menikah,0,3.3019695586829267,209.60828696096308,0
50014,5.0,Komputer,1,109.82419347457284,UPI,Wanita,4,3,Cerai,0,20.345054431504074,418.5129753180249,0
50015,5.0,Smartphone,2,30.474486293007168,UPI,Wanita,4,2,Cerai,0,20.32058486672488,169.34440498877348,0
50016,5.0,Smartphone,2,11.458631138881007,Credit Card,Wanita,4,5,Cerai,0,14.672983914752152,461.9919335145456,1
50017,10.0,Komputer,1,34.398495786466576,COD,Wanita,5,3,Menikah,0,19.01619848945064,481.03869962192454,0
50018,10.0,HP,1,65.66981963493328,CC,Wanita,3,4,Cerai,1,4.547017453789684,246.22930483010484,0
50019,10.0,HP,2,24.73358221249685,CC,Wanita,2,4,Single,0,4.239650020517835,250.47271619438072,0
50020,5.0,Smartphone,2,24.257870619568678,Credit Card,Pria,4,3,Cerai,1,21.570000853218176,397.31130356687765,1
50021,20.0,HP,2,58.198257917092604,UPI,Wanita,3,4,Menikah,0,12.453710930864172,282.51543942080025,1
50022,5.0,Komputer,2,8.82581668447622,CC,Pria,3,3,Menikah,0,6.148430356321227,111.44405743969408,1
50023,5.0,Komputer,1,19.0171294912111,UPI,Pria,1,3,Cerai,0,17.218258940158094,467.9506910700964,1
50024,10.0,Smartphone,1,52.82405403191397,Credit Card,Pria,4,4,Menikah,0,22.296879173355524,272.3001367863051,0
50025,10.0,Komputer,3,12.259939558916143,UPI,Pria,5,1,Cerai,0,15.808066148606246,181.3980402161245,0
50026,20.0,Komputer,2,50.626831492385875,UPI,Pria,3,2,Cerai,0,8.683626073500431,322.2656292595144,0
50027,5.0,Smartphone,3,59.51072058407119,UPI,Pria,3,5,Single,0,12.080944132325364,187.56246503652665,0
50028,10.0,Komputer,1,56.89566061840816,CC,Pria,2,2,Menikah,0,18.80673652363349,182.40879987264313,0
50029,10.0,Komputer,1,104.95510860135504,Debit Card,Pria,1,5,Single,0,1.687530721809688,318.2925309562531,1
50030,,Komputer,3,65.95718233094922,COD,Wanita,3,5,Menikah,1,5.429112898911057,256.4169168757876,0
50031,20.0,HP,2,58.81775318497499,UPI,Pria,3,2,Cerai,1,11.56457966623618,329.1973113012889,0
50032,5.0,Smartphone,2,52.231563220041615,UPI,Pria,5,3,Menikah,0,15.106024102427467,498.7301747244961,1
50033,,Smartphone,2,99.02668850501591,UPI,Pria,5,4,Cerai,0,8.479139776058112,443.60726174830734,0
50034,30.0,Smartphone,2,107.9315094599808,Debit Card,Pria,2,1,Menikah,0,7.459773046747017,103.06831971591551,0
50035,30.0,HP,3,103.12288395766852,Credit Card,Wanita,2,1,Single,1,1.0346048924930322,120.2222838149559,0
50036,30.0,HP,3,82.45785648510994,CC,Pria,2,1,Single,0,0.8150443012861885,344.03177605249783,0
50037,10.0,Smartphone,1,20.796600786397537,Debit Card,Wanita,5,2,Cerai,0,6.96737135757064,350.5024324529192,1
50038,,HP,2,36.84004649158141,UPI,Wanita,5,2,Single,1,13.262652502238575,451.27633763039734,0
50039,20.0,Smartphone,2,10.297252323427404,Debit Card,Pria,1,3,Cerai,1,13.909287411135288,351.6228698087303,1
50040,10.0,HP,2,112.04476862386312,Debit Card,Pria,4,1,Cerai,0,12.350687321671721,191.08581540629692,0
50041,5.0,Komputer,3,80.9918309144547,Debit Card,Wanita,4,3,Cerai,0,10.247017100070858,287.40649108146033,0
50042,10.0,Komputer,2,90.83173169602277,Credit Card,Pria,1,1,Menikah,0,6.30728973153302,423.59416026847543,0
50043,,Smartphone,3,40.83075005195633,COD,Pria,4,2,Cerai,0,10.017360789819554,469.1299858393486,0
50044,30.0,HP,2,102.25015506189438,CC,Wanita,5,4,Single,0,3.4689991346378375,194.76604758668367,0
50045,5.0,HP,2,34.85437762647503,Credit Card,Wanita,4,4,Menikah,0,2.88148072565092,315.84189400533035,0
50046,20.0,Komputer,1,5.189032067931714,Credit Card,Pria,5,4,Single,0,7.498581420344785,163.5710200681611,0
50047,10.0,Komputer,2,48.287720689879805,COD,Pria,1,4,Cerai,0,24.88371991068049,298.7998795710277,0
50048,10.0,HP,2,70.63757031029344,Credit Card,Pria,2,5,Cerai,0,8.162423687909962,136.04564829980043,0
50049,10.0,HP,1,60.05105866603509,Debit Card,Wanita,1,1,Single,1,23.411409758877628,476.6912279801897,0
50050,5.0,HP,3,104.13875639630866,Debit Card,Pria,4,4,Menikah,0,9.80655364419235,355.2225833130462,0
50051,30.0,HP,3,17.121607884959197,UPI,Wanita,5,5,Single,1,10.975249779990234,441.68669668547085,0
50052,20.0,HP,2,68.68969567287844,Credit Card,Wanita,4,5,Cerai,1,19.926572080055738,499.31806967276253,1
50053,30.0,HP,3,63.992625229404354,UPI,Pria,4,5,Menikah,0,2.3409581861864175,173.0663978821513,1
50054,30.0,Smartphone,2,37.360192949798744,CC,Wanita,2,3,Cerai,0,4.557833089840988,377.65736598385945,1
50055,10.0,HP,1,99.55623294635622,Debit Card,Pria,4,3,Cerai,0,24.34600662438037,454.7945174027432,1
50056,30.0,Komputer,1,91.57759542645373,CC,Pria,2,5,Single,0,12.647933499017366,330.37526696471605,0
50057,,Smartphone,2,89.27880654316056,COD,Wanita,5,4,Cerai,1,1.1077420552157573,355.8785513466244,0
50058,5.0,HP,1,105.76213500099894,Debit Card,Pria,5,1,Single,0,1.1845183264012626,263.06843580685495,1
50059,,Komputer,1,88.12022907147494,CC,Wanita,2,2,Menikah,0,22.681017094434818,369.9043334866056,0
50060,10.0,Smartphone,2,31.661748547193543,COD,Wanita,1,3,Cerai,0,21.83412723896794,258.23116587844953,0
50061,10.0,Komputer,2,86.13971183971448,CC,Pria,5,4,Cerai,0,11.459977673627503,290.6478552605794,1
50062,5.0,HP,1,40.38582353983204,COD,Pria,1,4,Menikah,0,4.080552148614968,141.16469704912996,0
50063,30.0,HP,3,32.85008478995911,COD,Pria,5,2,Single,0,20.757115159061993,103.12336007215266,0
50064,10.0,HP,3,13.395413183457142,Debit Card,Pria,5,2,Cerai,0,8.115002681991262,122.06044965557874,0
50065,5.0,HP,2,90.56328673998283,UPI,Wanita,3,4,Menikah,0,10.476459966577384,177.0086563750407,0
50066,10.0,Smartphone,2,86.76511062422829,COD,Wanita,4,2,Cerai,1,17.06190947623295,282.64152783802615,1
50067,5.0,Smartphone,3,31.96743993252078,COD,Wanita,4,4,Single,0,8.834958835191362,108.39762834058155,0
50068,30.0,Komputer,1,91.17858692327793,Debit Card,Pria,1,2,Single,0,15.716748167457325,162.374655661693,1
50069,,HP,3,110.5517015557586,UPI,Wanita,4,2,Single,0,22.132067761064608,412.57784155377544,1
50070,30.0,Komputer,3,17.423330111531612,Credit Card,Wanita,1,4,Single,0,19.934331719361936,404.8666233048188,0
50071,20.0,Smartphone,3,31.75321341447912,Credit Card,Pria,5,5,Menikah,0,9.54027684667901,415.8921166702,0
50072,5.0,HP,3,91.27999132004128,UPI,Pria,3,4,Cerai,0,7.19841386759337,468.6163772787096,0
50073,,HP,2,36.568267453314,CC,Pria,3,1,Menikah,0,7.137761218488975,147.62840029380766,1
50074,30.0,Smartphone,2,76.83635704262743,Debit Card,Wanita,5,2,Single,0,8.714778759414576,165.2559504911532,0
50075,20.0,Smartphone,1,14.33388581332717,UPI,Pria,2,3,Single,0,12.337924668119307,233.42144584052576,1
50076,20.0,Smartphone,1,57.00328509690695,Credit Card,Wanita,2,2,Single,0,10.414937017348578,466.05647959236387,0
50077,20.0,Smartphone,1,89.99551352918961,COD,Wanita,4,1,Single,0,3.3251005246914462,410.191097202378,0
50078,,Smartphone,1,83.94910344997405,Credit Card,Wanita,1,3,Cerai,0,4.086396458347707,229.64850893292788,1
50079,10.0,HP,3,98.73329157771778,COD,Wanita,3,3,Single,0,8.573240234954586,135.05432711309396,0
50080,5.0,Smartphone,2,105.90699455936442,Debit Card,Wanita,4,4,Cerai,0,14.051602501471432,346.5520104595337,0
50081,30.0,HP,2,93.9161026447572,COD,Pria,5,5,Single,0,14.816598753337368,202.72766632226092,0
50082,20.0,HP,1,82.23259043797648,UPI,Wanita,3,4,Cerai,0,12.15517662241575,312.46102638742127,1
50083,10.0,Smartphone,1,8.648086558843582,COD,Pria,1,3,Cerai,1,18.469397030187864,476.7213438403908,1
50084,,Smartphone,3,66.52116744208607,CC,Wanita,1,3,Single,0,18.431219718918417,329.0468981257338,1
50085,10.0,HP,3,9.33523836520807,UPI,Wanita,2,5,Menikah,0,10.690686792184714,469.53377456934567,0
50086,10.0,Smartphone,1,97.9277989683426,Debit Card,Pria,4,2,Menikah,0,3.111020269023607,257.2155143979502,0
50087,20.0,Smartphone,2,41.88332031289512,UPI,Wanita,5,5,Menikah,0,13.25436924417808,353.3405349155083,0
50088,20.0,Smartphone,2,69.6793780235609,CC,Wanita,3,4,Menikah,0,9.536726599845815,457.55598957878567,0
50089,30.0,Komputer,2,37.1362103416738,Debit Card,Pria,1,2,Menikah,0,3.448074744092583,335.1949246436553,0
50090,10.0,HP,1,94.98751660373377,Credit Card,Pria,3,4,Single,0,24.54543024912098,345.9594708108417,0
50091,5.0,Komputer,2,106.9477905638188,CC,Wanita,5,5,Single,0,9.243884732002556,386.52319283248977,0
50092,20.0,Smartphone,3,50.84388683450236,Debit Card,Wanita,3,2,Single,0,15.644945990530774,452.8431028753012,1
50093,20.0,Komputer,3,104.23607525376373,COD,Wanita,4,5,Single,0,12.253221533414916,135.2720244963412,1
50094,10.0,Smartphone,1,35.71362585747822,UPI,Pria,2,1,Single,0,3.5707069804191525,234.74375287043478,1
50095,20.0,Komputer,3,66.48600615368524,Debit Card,Wanita,3,3,Single,0,1.3885905843142643,259.0738904322415,0
50096,10.0,Smartphone,1,103.75756443145096,UPI,Pria,2,2,Cerai,0,15.644235377048973,463.8838661556711,0
50097,10.0,Komputer,2,42.47635440081589,COD,Pria,5,3,Cerai,0,6.1755467586971395,482.40316980648055,0
50098,10.0,Komputer,2,114.71486048397986,Debit Card,Wanita,2,1,Single,0,6.091349990342875,148.1521858660499,0
50099,,Komputer,2,19.016142704859117,Credit Card,Pria,3,2,Single,0,23.924404742757766,147.6430719155123,0
50100,5.0,HP,3,7.101633018203216,CC,Wanita,3,3,Cerai,0,11.544332607782284,473.944717700945,1
50101,,Komputer,1,108.97556554649192,Debit Card,Wanita,1,3,Cerai,0,0.735651662517231,218.30876055303708,0
50102,20.0,HP,2,12.894596607005308,COD,Pria,3,2,Single,0,8.496067878745169,196.7257676148611,0
50103,10.0,Smartphone,1,119.06725753396155,Debit Card,Pria,2,3,Cerai,0,14.612288556305666,114.24914630163947,0
50104,10.0,Komputer,2,114.41063912759721,UPI,Pria,1,3,Menikah,0,8.21418546292802,210.23837390825963,0
50105,30.0,Smartphone,3,20.757404654176877,Debit Card,Pria,3,2,Menikah,0,0.6712988508535578,377.4105708903953,0
50106,5.0,Smartphone,3,66.82223195464508,Credit Card,Pria,3,3,Menikah,0,11.107781636668385,270.41446509582465,0
50107,10.0,Komputer,1,26.2658342087216,Debit Card,Pria,5,3,Cerai,0,2.647658404369446,306.74814066070405,0
50108,20.0,HP,3,54.237844898463784,CC,Wanita,1,4,Single,1,15.479000616567609,466.91823864595415,0
50109,5.0,Komputer,3,12.063889864880757,Debit Card,Wanita,5,4,Single,0,15.489677505567201,145.8759130685266,0
50110,,Smartphone,1,30.751327596607794,UPI,Wanita,5,1,Single,0,0.9439784899600179,128.49628609703962,0
50111,5.0,Smartphone,2,46.77637158587345,Debit Card,Pria,5,4,Cerai,0,7.266656539984432,440.7722996495577,0
50112,5.0,Komputer,3,55.444462528296306,Credit Card,Pria,4,4,Cerai,0,10.342156593475096,409.94231897228264,0
50113,30.0,HP,1,117.41206969402272,COD,Pria,5,1,Menikah,0,13.756602446479448,205.49367477801297,1
50114,30.0,HP,3,97.90454925365785,Debit Card,Wanita,2,3,Cerai,0,7.401585742704878,229.69365054963316,0
50115,20.0,Smartphone,3,89.80214359587382,Debit Card,Wanita,3,3,Menikah,1,7.193662813784954,224.1111343102641,0
50116,30.0,Smartphone,3,66.75975119532704,CC,Pria,4,4,Menikah,0,24.575378906256486,359.1235192087645,1
50117,30.0,HP,3,101.59974246949949,Credit Card,Pria,5,1,Single,0,1.0465698930224976,124.48460279559174,0
50118,5.0,Komputer,1,44.02212610040677,COD,Pria,3,3,Cerai,0,24.726135352278796,295.7606341054908,1
50119,30.0,Smartphone,1,86.52339796893135,UPI,Pria,1,5,Single,0,1.1937985269599132,153.54918764509807,1
50120,10.0,HP,1,119.28515716848979,Debit Card,Wanita,1,2,Single,0,7.208535694867146,427.895416370499,0
50121,30.0,Smartphone,3,41.18232452754786,COD,Wanita,3,2,Cerai,0,12.342271374233752,252.2652017239861,1
50122,30.0,Komputer,3,82.51201651165624,UPI,Wanita,2,2,Cerai,0,3.58245857535813,311.0288772877837,0
50123,10.0,HP,3,102.09620937752398,Credit Card,Pria,3,4,Menikah,0,3.371159062968096,111.7270435115144,0
50124,5.0,Smartphone,1,110.31787208532731,Credit Card,Wanita,3,2,Menikah,1,6.407817831523646,123.30572541642093,1
50125,5.0,Komputer,3,87.56225945811171,COD,Pria,4,2,Menikah,0,24.33767958933924,370.02193229338644,1
50126,10.0,Smartphone,2,37.614911192970666,UPI,Pria,1,5,Menikah,0,9.502921471864104,406.7082180565328,0
50127,30.0,Komputer,3,42.52244743042884,Credit Card,Pria,1,3,Single,0,14.149870956729796,384.01423384088054,0
50128,30.0,Komputer,2,7.387173694255884,COD,Wanita,5,5,Single,1,17.60728505954116,394.8074545831441,0
50129,,HP,3,92.50188743222361,Credit Card,Wanita,3,4,Cerai,0,18.55554588810526,141.84794021973158,0
50130,10.0,Komputer,1,9.915054697124408,Credit Card,Pria,3,2,Menikah,0,17.20102415863387,377.38033643901645,0
50131,10.0,Smartphone,3,104.43502077931575,Credit Card,Wanita,2,3,Menikah,1,8.423204829793121,172.69903307563746,1
50132,5.0,Komputer,2,18.645970664571962,CC,Pria,1,2,Menikah,0,2.7931956839015615,139.20617275071416,0
50133,5.0,Komputer,2,24.76579889563129,UPI,Pria,2,2,Single,0,7.042911883330271,402.86433218193645,0
50134,10.0,HP,3,59.80054414570729,COD,Pria,4,4,Cerai,0,5.257380669237666,455.7624468406259,0
50135,30.0,Komputer,2,89.85624774440537,COD,Wanita,5,2,Single,0,3.406932621732919,386.6839629620635,0
50136,10.0,Komputer,2,20.985253597893934,UPI,Wanita,2,1,Cerai,1,0.6124182937904676,422.22938112590134,0
50137,10.0,Smartphone,1,55.60817363264732,UPI,Pria,1,3,Cerai,0,23.393146226460352,496.43526204864634,0
50138,20.0,HP,3,60.52789655716205,UPI,Wanita,4,3,Single,0,23.025859663633454,153.90236456267382,1
50139,10.0,HP,3,29.412848791888003,UPI,Wanita,3,1,Single,1,1.2604251407542315,486.0610209732154,0
